http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	air commodore	flight lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	command and control officer	flight officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	air commodore	command and control officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	pilot officer	squadron leader
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	royal airforce officer	command and control officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	squadron leader	command and control officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	military group captain	flight officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	squadron leader	flight officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	flight lieutenant	royal airforce officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505	air commodore	squadron leader
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	armed forces lieutenant	police lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	armed forces lieutenant	lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2	lieutenant	police lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	navy officer	ship-of-the-line ensign
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	navy officer	midshipman
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	sub-lieutenant	navy officer
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	midshipman	sub-lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	midshipman	ship-of-the-line ensign
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90	ship-of-the-line ensign	sub-lieutenant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	air force commandant	air force squadron leader
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	squadron leader	air force squadron team leader
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	air force squadron team leader	air force commandant
http://data.europa.eu/esco/isco/C0110	http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7	air force commandant	squadron commander
